City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
437,Taoudenni,ML,78.49,broken clouds,22.6783,-3.9836,
438,Riyadh,SA,82.54,scattered clouds,24.6877,46.7219,
444,Sola,VU,80.01,overcast clouds,-13.8833,167.55,
446,Abha,SA,73.22,scattered clouds,18.2164,42.5053,
449,La Primavera,CO,78.75,scattered clouds,5.4906,-70.4092,
451,Loiza,PR,78.96,scattered clouds,18.4313,-65.8802,
452,Celestun,MX,70.56,clear sky,20.8667,-90.4,
453,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,
455,Gizo,SB,82.54,overcast clouds,-8.103,156.8419,
457,Weligama,LK,77.72,overcast clouds,5.9667,80.4167,
458,Telhara,IN,72.25,clear sky,21.0269,76.8389,
467,Namibe,AO,79.36,overcast clouds,-15.1961,12.1522,
468,Hambantota,LK,82.74,few clouds,6.1241,81.1185,
469,Am Timan,TD,94.48,clear sky,11.0297,20.2827,
470,Buraydah,SA,77.45,overcast clouds,26.326,43.975,
471,Xuddur,SO,93.45,overcast clouds,4.1213,43.8894,
474,Kunnamangalam,IN,84.83,overcast clouds,11.3046,75.8777,
476,Foumbot,CM,89.96,clear sky,5.5079,10.6356,
480,Santa Cruz,BO,77.05,broken clouds,-17.8,-63.1667,
482,Paracuru,BR,82.11,overcast clouds,-3.41,-39.0306,
483,Mozarlandia,BR,81.64,few clouds,-14.7447,-50.5706,
489,Bartica,GY,75.52,few clouds,6.4,-58.6167,
492,Manokwari,ID,79.3,broken clouds,-0.8667,134.0833,
493,Piacabucu,BR,85.75,clear sky,-10.4056,-36.4344,
497,Tena,EC,72.36,light rain,-0.9833,-77.8167,
498,Conceicao Do Mato Dentro,BR,78.93,overcast clouds,-19.0372,-43.425,
503,Poum,NC,81.55,overcast clouds,-20.2333,164.0167,
504,Road Town,VG,77.04,broken clouds,18.4167,-64.6167,
512,Antofagasta,CL,70.0,scattered clouds,-23.65,-70.4,
517,Cotonou,BJ,87.78,dust,6.3654,2.4183,
522,General Roca,AR,70.63,overcast clouds,-39.0333,-67.5833,
530,Iracoubo,GF,77.9,overcast clouds,5.4802,-53.2011,
532,Malindi,KE,86.16,scattered clouds,-3.2175,40.1191,
533,Osmena,PH,79.3,overcast clouds,10.5208,119.9258,
536,Doha,QA,80.91,clear sky,25.2867,51.5333,
538,Popondetta,PG,76.17,overcast clouds,-8.7537,148.2534,
542,Eyl,SO,81.61,clear sky,7.9803,49.8164,
544,Asfi,MA,72.7,overcast clouds,32.2994,-9.2372,
548,Rapar,IN,74.26,clear sky,23.5667,70.6333,
550,Maturin,VE,79.66,clear sky,9.75,-63.1767,
552,Taganak,PH,78.94,broken clouds,6.0833,118.3,
553,Sao Jose De Piranhas,BR,87.78,broken clouds,-7.1206,-38.5019,
555,Broken Hill,AU,71.31,overcast clouds,-31.95,141.4333,
564,Dingle,PH,74.12,overcast clouds,10.9995,122.6711,
