City_ID,City,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Lat,Lng
252,Bathsheba,74.01,88,75,8.05,broken clouds,BB,13.2167,-59.5167
253,Mandan,-5.96,75,0,18.41,clear sky,US,46.8267,-100.8896
254,Kungurtug,-10.52,99,71,1.81,broken clouds,RU,50.5994,97.5228
255,Kentau,34.32,72,1,13.94,clear sky,KZ,43.5206,68.5094
256,Inta,15.4,95,100,9.73,overcast clouds,RU,66.0317,60.1659
257,Raga,94.6,10,79,9.62,broken clouds,SS,8.4596,25.678
258,Kalat,50.63,12,0,6.15,clear sky,PK,29.0225,66.5916
259,Mikhaylovka,30.78,94,100,10.11,overcast clouds,RU,50.06,43.2379
260,Manzanillo,71.26,83,1,9.64,clear sky,CU,20.3433,-77.1167
261,Bengkulu,76.89,88,99,3.47,overcast clouds,ID,-3.8004,102.2655
262,Guarapari,82.29,75,98,7.72,overcast clouds,BR,-20.6667,-40.4975
263,Golspie,37.54,92,88,19.95,light snow,GB,57.9727,-3.978
264,Ponta Do Sol,72.72,74,60,2.73,broken clouds,PT,32.6667,-17.1
265,Caraballeda,79.38,77,20,0.0,few clouds,VE,10.6112,-66.8522
266,Kirovskaya,35.53,80,100,8.63,overcast clouds,RU,46.9748,40.0402
267,Amuntai,75.38,95,96,0.04,light rain,ID,-2.4177,115.2494
268,Saldanha,80.65,62,19,23.98,few clouds,ZA,-33.0117,17.9442
269,Tuy Hoa,72.45,88,77,13.31,broken clouds,VN,13.0833,109.3
270,Amontada,86.65,56,84,6.76,broken clouds,BR,-3.3617,-39.8317
271,Aloleng,79.56,77,14,19.95,few clouds,PH,16.1307,119.7824
272,Bay Roberts,41.5,93,100,3.58,moderate rain,CA,47.5999,-53.2648
273,Moerai,78.06,80,78,17.13,moderate rain,PF,-22.4333,-151.3333
274,Saint-Pierre,82.08,74,40,5.75,scattered clouds,RE,-21.3393,55.4781
275,Macau,60.08,62,20,16.11,few clouds,MO,22.2006,113.5461
276,Vestmanna,34.72,60,75,33.38,light snow,FO,62.1564,-7.1664
277,Srednekolymsk,-32.55,100,97,0.47,overcast clouds,RU,67.45,153.6833
278,Mezen,-3.5,100,99,3.24,overcast clouds,RU,65.8522,44.24
279,Swan River,-25.71,68,31,6.91,scattered clouds,CA,52.1058,-101.2676
280,Codrington,60.57,82,40,13.2,scattered clouds,AU,-38.2667,141.9667
281,Baker City,24.58,85,100,0.0,fog,US,44.7749,-117.8344
282,Pierre,14.92,63,100,3.0,overcast clouds,US,44.3683,-100.351
283,Fallon,17.47,73,0,0.0,clear sky,US,39.4735,-118.7774
284,Alice Springs,65.75,63,28,1.14,scattered clouds,AU,-23.7,133.8833
285,Wuwei,22.14,32,67,5.77,broken clouds,CN,37.9281,102.6414
286,Loukhi,3.27,97,96,4.0,overcast clouds,RU,66.0764,33.0381
287,Hagere Selam,71.06,20,94,8.37,overcast clouds,ET,6.4833,38.5167
288,Baie-Comeau,6.8,60,100,9.22,overcast clouds,CA,49.2168,-68.1489
289,Hackensack,59.05,94,100,8.05,light snow,US,40.8859,-74.0435
290,Aksu,30.09,43,54,5.12,broken clouds,CN,41.1231,80.2644
291,Mildura,69.76,32,24,5.75,few clouds,AU,-34.2,142.15
292,Moron,73.99,85,17,4.65,few clouds,AR,-34.6534,-58.6198
293,Nouadhibou,73.38,27,6,5.75,clear sky,MR,20.931,-17.0347
294,Sitka,44.49,81,100,14.97,moderate rain,US,57.0531,-135.33
295,Bundaberg,74.21,71,100,5.01,overcast clouds,AU,-24.85,152.35
296,Carnarvon,84.27,70,15,20.71,few clouds,AU,-24.8667,113.6333
297,Champerico,75.04,77,0,9.33,clear sky,GT,14.3,-91.9167
298,Benghazi,58.26,56,12,16.17,few clouds,LY,32.1167,20.0667
299,Hovd,-8.25,92,10,3.78,clear sky,MN,48.0056,91.6419
300,Picota,72.09,96,97,0.45,overcast clouds,PE,-6.9197,-76.3304
301,Omsukchan,-12.89,71,71,9.57,broken clouds,RU,62.5333,155.8
302,Bismarck,-6.12,74,0,18.41,clear sky,US,46.8083,-100.7837
303,Perth,87.1,27,0,5.75,clear sky,AU,-31.9333,115.8333
304,Walvis Bay,72.09,65,8,13.71,clear sky,NA,-22.9575,14.5053
305,Dunedin,54.81,86,100,4.0,overcast clouds,NZ,-45.8742,170.5036
306,Mezhdurechensk,9.54,97,16,2.3,few clouds,RU,53.6942,88.0603
307,Remedios,72.52,89,51,8.1,broken clouds,CU,22.4947,-79.5458
308,Kloulklubed,81.1,78,2,16.15,clear sky,PW,7.0419,134.2556
309,Kijang,32.95,49,3,13.76,clear sky,KR,35.2442,129.2139
310,Wajir,96.76,26,40,0.0,scattered clouds,KE,1.7471,40.0573
311,Constantine,67.41,26,0,8.05,clear sky,DZ,36.365,6.6147
312,Agapovka,11.41,87,100,7.67,overcast clouds,RU,53.2973,59.1348
313,Tigil,7.92,89,99,5.59,overcast clouds,RU,57.8,158.6667
314,Anse-Bertrand,73.22,76,9,9.8,clear sky,GP,16.4721,-61.5078
315,Bagado,72.75,98,82,1.61,broken clouds,CO,5.4116,-76.4152
316,Amalapuram,84.58,71,71,6.42,broken clouds,IN,16.5833,82.0167
317,Lompoc,51.57,82,0,5.75,clear sky,US,34.6391,-120.4579
318,Nuuk,7.41,85,100,17.27,overcast clouds,GL,64.1835,-51.7216
319,Kinango,96.03,33,100,9.91,overcast clouds,KE,-4.1372,39.3153
320,Saint-Augustin,-6.38,77,100,8.37,overcast clouds,CA,51.226,-58.6502
321,Bonfim,79.14,65,69,8.84,broken clouds,BR,3.0833,-59.95
322,Corner Brook,23.13,96,100,3.58,snow,CA,48.9667,-57.9484
323,Fare,80.67,73,6,12.48,clear sky,PF,-16.7,-151.0167
324,Labuhan,79.14,87,96,7.67,moderate rain,ID,-6.8844,112.2051
325,Boshan,24.3,29,0,7.81,clear sky,CN,36.4833,117.8333
326,Abu Samrah,48.72,73,88,20.56,overcast clouds,SY,35.3029,37.1841
327,Biltine,83.7,9,17,17.36,few clouds,TD,14.5333,20.9167
328,Totness,77.05,87,96,8.7,overcast clouds,SR,5.8833,-56.3167
329,Fort Nelson,-9.81,77,100,2.3,light snow,CA,58.8053,-122.7002
330,Vao,79.47,86,96,18.1,overcast clouds,NC,-22.6667,167.4833
331,Kasempa,66.54,92,100,4.7,overcast clouds,ZM,-13.4584,25.8338
332,Kavieng,83.26,70,83,9.98,broken clouds,PG,-2.5744,150.7967
333,Heihe,-1.62,94,59,5.88,broken clouds,CN,50.2441,127.4902
334,Tkibuli,40.24,97,100,3.49,overcast clouds,GE,42.3477,42.9981
335,Okhotsk,8.76,72,98,18.41,overcast clouds,RU,59.3833,143.3
336,Souillac,81.36,89,75,17.27,broken clouds,MU,-20.5167,57.5167
337,Gaoua,89.67,6,8,7.76,clear sky,BF,10.2992,-3.2508
338,San Cristobal,66.38,82,65,1.7,broken clouds,VE,7.7669,-72.225
339,Alofi,76.89,94,100,9.22,overcast clouds,NU,-19.0595,-169.9187
340,Mecca,69.26,51,98,13.56,overcast clouds,SA,21.4267,39.8261
341,Maceio,87.24,62,75,12.66,broken clouds,BR,-9.6658,-35.7353
342,Howard Springs,78.71,98,100,2.91,overcast clouds,AU,-12.497,131.047
343,Huinan,-4.31,93,96,4.12,overcast clouds,CN,42.6225,126.2614
